,id,senten
0,0,
1,1,
2,2,
3,3,우리 둘 몹시 매우 화났을 때
4,4,이 정도면 미즈 캠인가 마지막 피칭을 갑자기 급으로 떠난 꽁꽁 언 땅에 하필 리어카로 이동하는 곳에 하필 밤에 피칭한 탓에 이 모든 것이 첨이였던 나는 젤 엉망 핏을 내가 봉이에게 선물하다 캐빈 와이드냐 로젠이냐 그래도 눈이 와서 다행이다
5,5,술 안 먹고 일집일 집하고 지난주엔 쉬는 날 반납하고 외부진료소에서 두 시간 떨며 검사까지 받아 음성 떴는데 의심 환자와 근무지가 겹칠 줄은 올해는 크리스마스 선물로 자가 격리를 받았다 그러므로 중국이 멸망하길 바라본다
6,6,그렇게 좋냐 진짜 본인 수준에도 안 맞고 더럽게 비싼 돈이 너무 아까운 물건인데 두세 달을 노래 불러서 사줄 수밖에 없었다 너무너무 좋아한다 그럼 됐다
7,7,지겹게 손실만 보고 있다 장 시작하자마자 어제 차고 온 종가 베팅 종목들 하락하여 손절 그렇게 주씩만 매매하자고 다짐했으면서 손실을 메우겠다고 물량 싣고 매수 후 또 손절 그리고 또 손절 손실만 보는 형편없는 내 실력이 답답하고 다짐을 또 어기는 나 자신에 화가 난다 어떻게 해야 좋을까
8,8,
9,9,
10,10,자꾸 건드리지 나돈 터 치미
11,11,
12,12,
13,13,세상이 화병이 난 걸까
14,14,
15,15,주만에 외출인데 겨우 수성구 집 가서 김치 가져오고 빵집 갔는데 사람 많아서 그냥 와버렸네요 코로나 확진자가 천명이 넘는데 나만 집에 있었던 건가 봐요 여전히 사람이 많네요 우린 주만에 나온 건데 헐
16,16,
17,17,집사님들 루크가 화났어요 집사가 안 놀아준 다아 그 작 와그작
18,18,점점 예전이 그리워지고 있어 언제쯤 이렇게 활짝 웃으며 자유롭게 다닐 수 있을까 마스크 없이 놀러 다닐 수 있을까 가능은 한 거니
19,19,치과치료받고 온 시온 엄청 화났다 사진도 못 찍게 하는 중 미안해요 시온
20,20,생떼 요정에 살 되려고 그런지 요즘 너무 밉다 청개구리처럼 행동하는 너그만 하자 그럼 안 돼
21,21,
22,22,수도관이얼었다가게로차가질러왔다가물안틀어봤으면큰일날뻔어뜨케지금틀수있는난방기구다틀어놓구녹이는중나오늘여기서밤샐각눙물난다증말
23,23,지금 난 엄청 놀라 뺨 맞은 기분이 다 완벽해 내 표정 망한 날엔 치킨을
24,24,단아 할머니 생신 축하드리고 왔다 배달로 케이크 시켰더니 망가져서 다시 가져다 주심 다시는 배달 안 할 거다 가락국수면 남은 걸로 다시 짜장면 줬더니 포크로 잘 먹는다 내일 해가 서쪽에서 양말 직접 신겠다고 시도하더니 안 되니까 집어던진다 화장실에서 보고 있는 엄마 확대해서 찍었더니 화질 망
25,25,현생 첫눈 눈이 다 녹아 바닥에는 없게 눈을 좋아할 거라 생각한 나의 착각을 깨준 만두는
26,26,아침일찍부터슈퍼털고오기오늘의유일한외출오늘은집콕하쟈
27,27,
28,28,오늘 기사로 접한
29,29,
30,30,코로나왜이래원래도집콕이지만이제애들도같이집콕학교는전교생온라인수업유치원은조기방학년은이렇게가는구만
31,31,원더 윅스 끝난 건가 방심했더니 낮잠 총 시간 이제서야 육태 시켜주는 아들 근데 잠들기 전에 먹은 거 다 토해서 아마 시쯤 밥 달라고 할 듯 괜찮아아들 엄마 안 자고 기다릴게 잘 자고 맘마 먹자
32,32,
33,33,뚜비입씰룩이귀여워서계속장난쳤더닠엄마손을찢을듯이긁는구나아라써이제안하께
34,34,
35,35,아 진짜 나 오늘 너무 화났어
36,36,
37,37,
38,38,
39,39,한동안 울 집 짱구 아프지 않았는데 갑작스러운 코감기 열연 도 긴 침은 밤새도록 진짜 속상하다 짱구가 힘이 없네 아프지 말자
40,40,
41,41,
42,42,영상 보고 심장이 벌렁벌렁거림 악마를 보았다 사이코패스 소시오패스 단어가 어울리는 것들 영상을 보면 낄낄 거리 고쳐 웃는 모습을 보면 완전 소름 돋는다 월요일 대한 수의사협회 전화해야겠다 이건 가만히 보고 있을 수가 없네 계속 민원이라도 넣어야지 욕도 아까운 것들 저런 거 보고 아이들 맡기겠냐고 머리가 하얘진다 너무 충격적이다 이건 있어서도 안되지만 있을 수 없는 일이다 주인분 가면 영상 보실 수 있어요
43,43,송유 안일 송유 준일 집에만 있는 게 너무 답답했던 유 아니 사탕 하나만 사러 나가자는데 안쓰럽나도 엄청 춥고 코로나 더 난리고 코로나로 아주 엉망진창이지만 사탕 두 개에 유아니는 찐 행복하기
44,44,
45,45,예상은 했는데 내가 어떻게 예매했는데
46,46,
47,47,
48,48,살쪄서안먹겟다고다짐햇지만스트뤠쓰
49,49,
50,50,
51,51,간식으로배줫드만단물만먹고나란히도집어던져놧네귀여운시끼들
52,52,
53,53,어중간한 시간에 가면 맛 집은 항상 브레이크 타임
54,54,커피는 당분간 집에서 나의 힐링은 카페서 음악과 커피와 보내는 낙이였는데
55,55,욕심쟁이 김도 노리 먹지도 않을 거면서 귤 까 달라고 하고 바나나가 달라고 하고 붕어빵에 떡에 우유에 오늘 저녁밥 안 먹을 거니 딱한 입씩 먹고 돌아서는 차도 난 후 아
56,56,
57,57,젠장 해킹당하고 만 원 나쁜 새끼 다들 조심하세요
58,58,올해도조용한분위기로클수준비작년에아가씨가보내준이쁜벽트리한번해봤다고스팀다리미로싸싹주름펴주고이번엔세팅이손에익었구먼세팅도와준지율이와한장
59,59,월요일 낼부터 아빠 못 나가니까 오늘은 꼭 나가줘야지
60,60,일찍 일어나야 해
61,61,아무거나 미니 캔들
62,62,고객님 털갈이 중이시잖아요 방금 빨래했는데
63,63,아너무하네진짴인스타음식사진들보면먹고싶어서빡친다니까바로사진보내주네안티냐
64,64,
65,65,오늘의 기분은 동화를 읽으며 감정 공유하기 쓱쓱 그린 눈으로 감정을 읽어보고 붙여보자 눈으로 감정을 표현하라니 돋보기로 눈을 자세히 잘 보여주는 너희들
66,66,
67,67,산책만 한다 했잖아요
68,68,화가 잔뜩 나버린 덩어리
69,69,
70,70,
71,71,어제 서유네가 직접 만든 머리띠 쓰고 파주
72,72,
73,73,월 일은 토리 씨 생일 생일모자를 쓰는 순간 그분은 분노하셨지
74,74,오늘은 큰맘 먹고 이곳에 가서 마지막 가을을 느껴보려고 했는데 가을의 돌담길도 걷고 커피도 마시고 해보려 했는데 어제저녁 뉴스를 보는데 집회를 하신다고 해서 포기하고 집에 있으렵니다
75,75,브래그 캡슐 뽑기 아진 쫘볼 오지에 안쳐 나오네
76,76,축이 아빠 판다 엄마 러키
77,77,회사 여직원 챙기면서 덤으로 샀다며 준다 덤으로 닭볶음탕 해내라며 일거리도 준다
78,78,
79,79,마마 무 노래는 언제 불러도 신난다
80,80,
81,81,그나마 있던 창원 행사 캔슬
82,82,마스크 없던 작년이 너무 그립구먼 하루 지났는데 답답
83,83,어서 이것을 떠보고 싶다 청소업체도 영구 이사도 해결해야 할 일들이 너무 많다
84,84,
85,85,아놔
86,86,우리 숍에 장기 호텔 투숙객 루비 그런데 오늘 데리러 온다 했는데 왜 보호자님 전화 안 받으시나요 저희 스팸처리하신 건가요 보호소에서 입양하시곤 또 그러시는 건 아니죠 루비야 이모가 내일도 고구마 말랭이 가져다줄게
87,87,내가 찍은 사진 이쁘다고 따라 하기라더니 정작 내가 찍은 것보담 더 잘 찍었네 역시 작가님이시단 건가 근데 사진 왜 잘렸냐
88,88,
89,89,
90,90,
91,91,
92,92,아침부터말디럽게안드시는분화가부글부글끓었다는시반인디자켓안입어서화딱지나는줄다행이도둘다해서시안으로등원마침조금만더일찍가줄래
93,93,개망햇따내쪼끼내놔회사이모가세탁기돌려도괜찮다고해서돌렸는데이렇케됬엉오늘부러내쪼끼는세상을마감했네요마음이아포
94,94,내가 바닥에 앉 으면 안된다고 했지 우리 딸 왜 이렇게 못됐나요
95,95,리세가가 높지 않으니 구매도 안 하는구나 진짜 화가 났다 화가 나
96,96,
97,97,한국사 영어 단어 사자성어 완료 오늘은 강의가 좀 밀려 있는 한국사 만들었네고 동시대하고 있는데 점점 화가다들 금요일 하루도 고생 많으셨어요 감기 조심해야 하는 계절이에요 다들 건강관리 잘 하세요
98,98,눈이없나취급주의안보이나진짜간만에개빡침진짜드럽게비싼거애가밤마다기침해서손떨면서결제한건데뜯기도전에개박살난거보니심한욕나옴하당장필요해서급하게산건데내일금요일이라교환하려면접수하고찾아가고다시오는데일주일걸릴듯
99,99,맙소사 벽에 낙서질 발견 아침 짧은 시간에 방을 저지레하고 연필 들고 문 앞 벽지에 그림 그리고 떠난 아기 쓰
