,id,senten
0,0,나도 우리 집 귀한 딸인데 어느 정도 기본적인 예의는 지켜주세요 역으로 지랄을 해줘야 사람들이지 일인 줄 안다 호의가 계속되면 권리인 줄 안다 참는 것도 한계 저는 입장 바꿔 생각 안 합니다 그냥 평생 그렇게 오늘처럼 행복하게 사시길
1,1,참자참어이또한지나가겠지만화가난다아사리나올꺼같네화가난다화가난다화가나사리나올꺼같음참자참자참자참자참자참자참자참자참자아아아아아분하다성격죽여야하는데아옥셀카셀카쟁이셀카그램관종관종스타그램이태원클린이태원
2,2,어제예상은했지만조회하고나니더화가난다이쪼꼬미한테무슨짓을한건지이제와서뭐어쩌라는건지독을주고사진을찍고있었다니살기힘든나라신생아접종경피용화가난다
3,3,아침부터 홈스쿨 교재랑 스티커 북 가져오더니 공부하자고 하시는 따님 코로나 언제 끝나나 어린이집 언제 갈 수 있으려나가 정보국 넘나 힘들구먼 집합 금지 땜에 어디 가지도 못하네 망할 코로나 화가 난다
4,4,유 씨들은 다 자고 조용히 수세미나 뜨며 드라마 좀 보려고 했더니 한 시간 동안 이럴 거냐고 티빙 한 시간 동안 기다림 티빙 에러 화가 난다 내 자유시간 웨이브에서는 안 나온단 말이다 해리 포터나 또 볼까
5,5,정인 아 미안해 정인 아 미안해 챌린지 정인 아사랑 해 그리고 미안해 화가 나나 다 부들부들
6,6,가슴이 아프다 화가 난다 그것이 알고 싶다 정인 아 미안해 정인 아 미안해 챌린지
7,7,정인 아 미안해 챌린지 며칠 동안 가슴이 터질 듯 답답해 생각할수록 눈물 만난 다화가 난다 나가야 미안해 천국에서는 행복하길
8,8,화가 난다
9,9,아이를 키우는 엄마로써 너무나도 가슴 아픈 정인이 이야기 하늘나라에서는 아프지 말고 편히 쉬어 너무 마음 아프다 그것이 알고 싶다 정인 아 미안해 챌린지 화가 난다
10,10,정인이 이야기 그 알 보고 있는데 너무 속상하고 맘이 아파서 집중할 수가 없네요 어떻게 하면 관련자들 처벌할 수 있을까요 양부모랑 신고 무시한 놈들 진짜 너무 속상해요 딱 우리 은총이랑 같은 개월 아기인데 너무 이쁜 아기를 어떻게 그럴 수 일을까 요 근데 왜 자꾸 기독교인이냐고요 이러니 자꾸 기독교인이 욕먹지 더더더 속상합니다 그 일정인 아 미안해 안 보고 싶은데 신랑님 계속 시청방에 있는 은총이 가보고 싶은 왜 기독교인이냐고 미친 연놈들 때려죽일 연놈 맘 아프다 화가 난다
11,11,해돋이 가지는 못해도 집에서 영상으로 본다 희망찬 일들이 생기길 바랐는데 또 이럴 걸 미리 알았지 만 화가 난다 지겹다 지친 다년 기쁜 일이 가득하길 다시 한 번 빌어본다
12,12,깡의그라데이션분노완전웃겨그와중에밴님고음쫙쫙올라가네근데왜화내는것도귀엽냐출처정필립의필립필립박강현미라클라스그라데이션분노화가난다그럼에도귀여움귀요미깡
13,13,화가난다내계정어디갔뉘왜사라졌뉘흐규흐규어쩌다보니새로운계정시작짜증나
14,14,아벤트소독기드디어샀다육아는템빨열탕소독끝젖병닦기싫어요분유서수원이마트화가난다남편님제발말좀들어요분유는쟁여야해
15,15,화가 난다 치우라 했더니 숨으면 다냐 어지럽히는 사람 따로 치우는 사람 따로 얼른 치우자
16,16,남해 드라이브 호킹 스도 못해 카페도 못 가 차 안에서 만화가 난다 남해는 가을이네요 언제 겨울 오고 눈 내리려나
17,17,화가 난다
18,18,우리둘몹시매우화났을때화가난다모자스타그램
19,19,이 정도면 미즈 캠인가 마지막 피칭을 갑자기 급으로 떠난 꽁꽁 언 땅에 하필 리어카로 이동하는 곳에 하필 밤에 피칭한 탓에 이 모든 것이 첨이였던 나는 젤 엉망 핏을 내가 봉이에게 선물하다 캐빈 와이드냐 로젠이냐 그래도 눈이 와서 다행이다 금관숲캠핑장 새턴 룸 스노 라인 설 중 캠핑성 중 캠 안녕 가봉이어서 와 캐빈 와이드 로젠택배 화가 난다
20,20,술 안 먹고 일집일 집하고 지난주엔 쉬는 날 반납하고 외부진료소에서 두 시간 떨며 검사까지 받아 음성 떴는데 의심 환자와 근무지가 겹칠 줄은 올해는 크리스마스 선물로 자가 격리를 받았다 그러므로 중국이 멸망하길 바라본다
21,21,그렇게 좋냐 진짜 본인 수준에도 안 맞고 더럽게 비싼 돈이 너무 아까운 물건인데 두세 달을 노래 불러서 사줄 수밖에 없었다 너무너무 좋아한다 그럼 됐다 산타 왔다 감 뽀로로 자석 블록 말도 안 되는 가격 화가 난다 그래도 네가 좋다면야 메리 크리스마스
22,22,지겹게 손실만 보고 있다 장 시작하자마자 어제 차고 온 종가 베팅 종목들 하락하여 손절 그렇게 주씩만 매매하자고 다짐했으면서 손실을 메우겠다고 물량 싣고 매수 후 또 손절 그리고 또 손절 손실만 보는 형편없는 내 실력이 답답하고 다짐을 또 어기는 나 자신에 화가 난다 어떻게 해야 좋을까다 된다 트레이닝스쿨 찹쌀 이기주 린이 답답한 마음 화가 난다
23,23,크리스마스이브인데 놀다 상처도 나고 화가 난다 속상하다 미안한 다민 균안
24,24,목요일 등 원전 아침부터 얼지 가기 싫다고 생떼쟁이 화가 난다 크리스마스이브
25,25,자꾸 건드리지 나돈 터 치미 영상 촬영 환불 원정대
26,26,앵벌이집사집사그램출근연기됐다복형제살살화가난다체념니들은잠이오냐집사놀이연장
27,27,월 일 화요일 일상아 놔 정말 라온 이는 이렇게 끝이란 말인가 나온 이는 번만 가면 끝 너희들의 학년 학년 그냥 이대로 끝이구나 학교생활 즐겁게 했어야 했는데 참화가 난 다이제 학교는 끝이로구나 화가 난다 학년 학년 안녕이로구나 젠장 망할 코로나 생각 없는 사람들 때문에 망함 애들만 고생이다 더 이상 확진자가 없기를
28,28,세상이 화병이 난 걸까 부산바다 일상 여행을 꿈꾸는 모든 일상을 응원합니다 항상 바다는 옳다 화가 난다 요즘 힘내세요 힐링 소통
29,29,뜨끈한 차 한 잔 캐머마일 건강검진받는데 대장 내시경 한다고 커피도 마시지 말란다 생애 처음 받는 대장 내시경이니 말 들어야지 월 화 수 배고파서 앵그리 모드 건강검진 대장 내시경 위내시경이 참에 살 좀 빼자 배고프다 아침부터 화가 난다
