,id,senten
0,0,지금 오래간만에 혼술 중인데 죄책감 드네 맛있게 먹으면 칼로리라 했는데 맞지
1,1,
2,2,
3,3,앞마당캠핑촉촉하게비까지내려주니갬성업업업
4,4,
5,5,
6,6,우리 쏘아 두 번째 크리스마스 재난 문자 속 확진자 동선이 너무 가까운 곳들 그래도 크리스마스고 햇볕도 너무 좋아 후다닥 슴벅 케이크 사러 빵집 집 앞 마트 그 잠깐도 즐거워한 우리 쏘아
7,7,감사합니다 사랑합니다
8,8,감사합니다 사랑합니다
9,9,
10,10,힐링
11,11,
12,12,
13,13,
14,14,
15,15,
16,16,결혼하고 첫 생일 아빠의 모닝콜 냉장고엔 동생의 메시지와 엄마가 해준 미역국 눈뜨자마자 주방을 점령한 남편이가 오전 내내 준비한 잔치국수 미역국 대신 오래 살라고 국수를 삶아줬다 코로나라서 다들 자주 못 보지만 축하해주는 마음만으로도 따뜻해지는 하루 고마워 용 내 사랑 가족 친구들
17,17,감사합니다 사랑합니다
18,18,크리스마스잘보내셨죠관우도집콕크리스마스즐겁게보냈어요
19,19,해피 해피
20,20,감사합니다 사랑합니다
21,21,
22,22,산타가 왔다간 크리스마스 끝
23,23,
24,24,
25,25,울이 모 이쁘지
26,26,남는 건 추억사진 너랑 번째 크리스마스
27,27,년 개월 만에 기변이다 이제 버즈 살 돈 마련하자
28,28,
29,29,
30,30,
31,31,
32,32,
33,33,
34,34,
35,35,
36,36,
37,37,
38,38,
39,39,그래 나 돼지다 너무 맛있어 행복해
40,40,갈수록이뻐지는둘째뽀꺼니아정말하루종일붙어있고팡
41,41,너를 추억해 아가야 태어나서 이 사진같이 보자
42,42,캠핑다녀오는길에김밥이너무먹고싶은데김밥천국밖에연곳이없어서만들어먹기계란단무지맛살햄매운어묵시금치우엉조림치즈깻잎참치가지재료듬뿍넣고돌돌돌말아서새벽에줄뚝딱먹고아침에김치도시락면에줄뚝딱참돼지야근데너무너무맛있다
43,43,무슨 스테이크더라 아 아무튼 맛은 있었어
44,44,너무 일찍 일어나서 심심해 잉
45,45,
46,46,
47,47,
48,48,
49,49,
50,50,
51,51,태어나자마자 엄마 아빠랑 아이콘택트 눈뜨는 신생아는 보기 드물다고 뭐든 특별하게 느껴진다나도 어쩔 수 없는 도치 맘인가
52,52,오랜만에 자획 쉬면서 크리스마스 사진 찍기
53,53,조금 늦은 크리스마스 사랑해 미현이
54,54,
55,55,크리스마스 기록
56,56,알고 보면 우리 모두 영화 속 주인공단 지원치 않는 숙제들로 한숨이 나왔을 뿐
57,57,오후 시부터 만들기 시작해 시쯤 완성 거의 오빠가 다 만든 거지만 내가 뿌듯하구먼 너무 이쁘다 또 사서 만들어야지
58,58,
59,59,크리스마스 데이트
60,60,크리스마스이브 데이트
61,61,
62,62,우리 이쁜 야부 만들어준 하트 벌써 보고 싶다 언제 또 보러 가까나 다음에는 같이 오래 있오 야지 아프지 말아요 우리야 부
63,63,멜크
64,64,
65,65,단독주택이 역시 최고야
66,66,
67,67,유난히 예쁜 달 내 짝꿍이랑 같이 봐서 더 예쁜 달
68,68,
69,69,
70,70,
71,71,
72,72,우리들의 휴가 시간
73,73,월일크리스마스빨간날이고저번에식객허영만의백반기행방송에나와서그런가손님들이많았다가게일도와주고저녁에는회대게홍게조개찜에한잔
74,74,메리 크리스마스
75,75,
76,76,나쪼쿰행복카댜
77,77,서로 향수 만들어주기
78,78,
79,79,주년
80,80,크리스마스에 데이트 내가 맨날 맨날 스테이크 먹자고 노래를 불러서 주노가 데리고 온
81,81,이브는 가족이랑 장어에 케이크 파티밖에 못 나가지만 가득 찬 이브네요
82,82,
83,83,좋다
84,84,
85,85,
86,86,
87,87,
88,88,
89,89,
90,90,
91,91,
92,92,월 일상 메리 크리스마스 코로나로 인해 파티고 뭐고 없을 줄 알았으나 나름의 홈 파티 함께 만들어 먹을 수 있어서 행복 깜짝 크리스마스 선물 편지를 받아서 또 한 번 감동 쓰다 사다 난했던 연도 이제는 일 남았다 아쉬움이 가득하지만 내년에는 지금보다는 더 발전하길
93,93,
94,94,토잠실롯데타워데이트항상함께해줘서구경하러다니는데이트도너무좋은거같앙덕분에오늘도행복했뎡집에서잘쉬고또봐융
95,95,꿀 연휴 너무 행복해 냄새나는 고기는 안 좋아하는데 요긴 맛있어
96,96,
97,97,
98,98,메리 크리스마스 운동 등산 영양 밸런스 건강이 자산이다
99,99,
100,100,백만년만의족발정말안먹으려했는데보들보들한족발이란낼아침피부좋갰당
101,101,크리스마스는 언제나
102,102,
103,103,
104,104,
105,105,
106,106,
107,107,
108,108,두둥 루이비통 가방이 드디어 내 손에 산타 할배가 나한테까지 막 멜 수 있는 가방 주세요 했는데 명품이 들어왔다 막 메고 열심히 나갈게 현실은 매일 집에 콕
109,109,내일은 더 비싼 양주를 먹자
110,110,크리스마스 콘셉트 누구랑 누굴까요
111,111,아차산 등산 필름 카메라도 찍어보고 오늘도 행복하다
112,112,
113,113,코로 나 땜에 단독 풀빌라
114,114,
115,115,
116,116,
117,117,할머니의 연대 목걸이 결혼기념 선물로 받으신 목걸이라 그런지 아끼신 게 느껴지는 것 같다 사용하신 분의 취향을 엿보는 재미도 있고 비슷한 취향인 분을 찾는 것도 너무 즐거웠다 최애 가게가 또 늘어 너무 기분 좋은 날이다
118,118,지금 내게 필요한 건 커피 한 잔의 여유 행복한 사람들
119,119,먹은 뒤로 살 안 찌고 빠지는 것도 신기하고 얼굴 자체가 달라지니까 너무 좋다 왜 이 사업을 지금 알았을까 좀 더 빨리 알면 좋았을 텐데 이 생각을 많이 하게 돼 네 누구 엄마가 아닌 누구의 와이프가 아닌 내 삶을 찾아서 좋다
120,120,
121,121,오래간만에 취미생활 행복하냐 즐거우냐
122,122,썸 탈 때 조급함은 금물 서로를 배려하는 마음으로
123,123,크리스마스 선물에 내가 좋아하는 대게까지 서프라이즈
124,124,
125,125,남편이 열심히 꾸며놓은 스위트홈에서
126,126,통영 크리스마스
127,127,크리스마스의 행복
128,128,
129,129,차크닉
130,130,
131,131,해피 크리스마스
132,132,크리스마스 선물로 산 우리 집 오락실 쉬는 날 테이프다 걷어내고 와이프가 다 칠해주고 스티커도 다 해줬지 이걸로 켠 김에 왕까지 다 가겠어
133,133,
134,134,목이랑 코가 건조해서 생강차 타서 침대로 쪼르르 와버림 뜻밖의 연휴 느낌 내가 좋아하는 거다 해야지 의식의 흐름대로 그런데 바쁨
135,135,
136,136,일하면서 행복을 느끼는 순간 고객님께서 카카 오계 정 찾아줘서 고맙다고 빵을 사다 주셨다 난 그저 당연히 할 일을 했을 뿐인데 정말 중요한 게 그 계정에 있었다고 오히려 너무 고맙다고 하신다면 접어 신분 면접 보고 있어서 잘 신경도 못 써 드렸는데 너무너무 감사합니다
137,137,생일 전야제 사랑하는 친구나 경이가 생일상을 차려주었다 코로나 때문에 어딜 못 가니 밖에서 먹는 것보다 훨씬 맛있고 분위기 좋다 감동 감동 너무너무 고마워
138,138,몇 달 만에 성공이던가 다들 너무 빠르셔서 매번 실패하다가 월에 처음 성공해서 받은 맘이 아이 키트 임산부 기프트 박스 주말 잘 쉬고 있는데 반가운 택배 아저씨 박스가 너무 커서 뭐지 뭐지 했는데 뜯어보는 내내 기부네가 좋구나 보솜이 기저귀 비야 비야 물티슈 아기 치약 유아용품 세정 티슈 손익 전용 티슈 베개 닥 터 아토 샴푸 워시 로션 샘플 더 퓨어 샴푸 워시 로션 크림 샘플 푸짐하다 푸짐해 택배비만 내고 이만큼이나 올 줄이야 개월 뒤면 만나는 우리기 특이 우리 딸한테 유용하게 잘 쓸게요 고마워요
139,139,내년엔 행복하자
140,140,오랜만에 지효지 후보니 지효급 존댓말 어머니 덕에 너무 편한 게 지냈다 최고 크리스마스 선물 너무 답답해 가까운 공원에서 빨리 햄버거만 먹고 후닥닥 집으로 갑니다 누나라고 지후 챙기는 거 보면 기특해
141,141,
142,142,
143,143,
144,144,동네 산
145,145,
146,146,로맨틱한 만삭 촬영
147,147,
148,148,초대해주셔서 감사합니다 요즘 코로나로 무기력한 삶에 즐거운 크리스마스 저녁
149,149,굿바이 크리스마스
150,150,산타님이 오셨군 요소 오름 이젠 로또만 남았구나 내 새끼들 맛나는 거 먹자고 낫
151,151,메리 크리스마스 반전의 반전의 반전 마니또 나에게 포토샵 이란 없다
152,152,년 마지막 케이크 특강은 줌으로
153,153,
154,154,
155,155,너무 늦게 장본 탓에 거의 야식이 돼버린 우리들의 첫 번째 홈 파티 하루 늦게 올리는 크리스마스 홈 파티
156,156,아침 모닝 마라탕 얼마나 먹고 싶은지 꿈에서라도 나왔다 꿈에서는 먹지도 못하고 일어났지만 현실에 나는 먹었다
157,157,
158,158,잊지 못할 크리스마스였다
159,159,히피스베이글슈톨렌스콘리트리트커피카푸치노시나몬해피크리스마스쌍따봉
160,160,
161,161,얼마 전 저녁이 너무 완벽해서
162,162,메리 크리스마스
163,163,행복하고 즐거운 주말 아침 요즘 울 꼬맹이와 함께 있어 줄 수 있는 시간이 많아져서 너무 행복하다 많이 다투고 조금 체력이 힘들지만 같이 있어 줄 수 있을 때 오래 같이 안아주고 오래오래 기억하고 싶네 사랑해야 신방망이 이 빈
164,164,레아 친구들이랑 주고받은
165,165,우리의 첫 만남
166,166,
167,167,생에 처음으로
168,168,신나게
169,169,
170,170,
171,171,크리스마스 데이트 너무 좋다 코로나 때문에 후다닥하고 볼 거만 보고 피신하기 다음 크리스마스 때는 더 좋은 추억 만들어요
172,172,홈 파티 메리 크리스마스
173,173,행복한 시간
174,174,
175,175,
176,176,첫 줄장미 예쁘다
177,177,민자매다정한민블리들
178,178,오빠와 보내는 번째 크리스마스 크리스마스 캠핑은 두 번째 박일 여정은 아직 끝나지 않았다
179,179,즐거운 크리스마스
180,180,우리 가족의 행복한 하루 즐거운 크리스마스지만 내 생일인 아침부터 서방님이 차려준 생일상 고맙고 많이 사랑해요 요리사 오서방님
181,181,
182,182,
183,183,
184,184,예술적으로 보인다
185,185,
186,186,우리의 첫 크리스마스 서로가 크리스마스 선물
187,187,사진제대로찍을줄아는아리방구지금도내배옆에누워서곤히자고있는널보면형아는잘키웠구나생각되며마음이뿌듯해져비록형아가이제삼십살이된노총각이라도너와함께라면전혀외롭고두렵지않아우리아리앞으로도건강하게형아옆에껌딱지처럼붙어있어야해너의똥방구냄새마저사랑하는형아가
188,188,너를 사랑하기에 오늘도 부족함이 없다 엄마랑 재밌는 책을 많이 읽자
189,189,오늘 크리스마스라 겁나 먹었음 새벽엔 웹이 드 보면서 불닭까지 먹어 재꼈다는 건 안 비밀임 솔트였던 건 그냥 비밀로
190,190,크 배달 만으로 이를 하고 몸은 힘들지만 마음만은 날아갈 듯이 기쁘고 뿌듯하고만 어려운 상황 속에서도 이 정도 매출이 나오는 건 다 이유가 있겠죠 제일 기본인 맛이 없다면 불가능한 매출입니다 내일도 한번 달려가 봅시다 그놈 포차는 이 시국에도 열심히 달리고 있습니다 혼자였다면 불가능한 매출이겠죠 언제든 저희 그놈 포차 본사가 도와드리겠습니다 언제든 연락 주세요 그놈 포차 가맹문의 환영입니다
191,191,우리의 크리스마스
192,192,행복한 크리스 마슈
193,193,메리 크리스마스
194,194,
195,195,번의 크리스마스 중 둘이 보낸 첫 크리스마스 약간 쓰다 완벽
196,196,남자친구 없어도 알차게 보냈다
197,197,
198,198,
199,199,메리 크리스마스 우리 산타 베베
200,200,어쩜 똑같은 선물을 준비했을까
201,201,보여줄게 느껴줄게
202,202,겨울 휴가라 어디든 가야 되니까 제주도 동문 야시장에서 딱새우 광어 전복 김밥 완벽해 첫 렌트하고 정말 편해요 내일도 안전운전
203,203,뒷북치는 크리스마스 혜지
204,204,조만간나도꼭내년에도열심히공부해본다존버
205,205,해피 해피 크리스마스 좋은 사람들과 안주 킬러 이민성
206,206,행복한 크리스마스
207,207,메리 크리스마스 둥둥
208,208,이번 크리스마스는 새로운 사람들과 새롭게 보냈다 함께해줘서 고맙고 또 고마워
209,209,
210,210,
211,211,
212,212,울애기들문산똥찌문찬똥찌기요미들이모가사랑한데이
213,213,이번 크리스마스는 댄스 크리스마스
214,214,
215,215,메리 크리스마스
216,216,
217,217,소미랑 첫 크리스마스
218,218,얘들아 막달
219,219,
220,220,규혀니에게받은크리스마스카드규현아너의존재자체가엄마아빠에겐커다란선물이야고마워엄마아빠의아들로태어나줘서작은손으로써내려간정성스런카드를받으니행복해
221,221,
222,222,감동 주는 사람
223,223,미니언 눌림 귀엽다
224,224,일이었던
225,225,행복
226,226,
227,227,우리 설아
228,228,
