,id,senten
0,0,
1,1,메리 크리스마스 바람이 엄청 부네요 장박에 금사리 속닥 하이 둘이서 파티 너무 따뜻하고 행복하네요 겨울 캠핑난로 아래 요런 게 행복 메리 크리스마스 행복해 브라우니 우드 팔각 테이블 자기 계발 시클 맞팔기
2,2,케이크 풍년이어라 코코에서 케이크 선물 주신 분 복받으실 거예요 저는 작은 한 조각 먹었을 뿐 조카들이 순삭 해치웠네요 너무 신기한 건 이렇게 먹어도 살은 왜 안 찌는 걸까요 기초대사량 화가 납니다
3,3,직징인고마워미희야구름녹차라떼뷰브케이크존맛탱비쥬얼짱카페민트제이홍데입구역브러치카페앉자서분위기좋은카페카페투어그램카페투어좋아요반사소통좋아요늘리기마스크생활화힐링행복해
4,4,집콕클수마스끗월요일이라니이번생일은가족과함께하구축하도많이받아너무행복했떠요이번주도일만더힘내봅씨다
5,5,직장인 고마워 미희야 내 인생 상큼한 휴식 직장으로 이젠 삶 속 사진 추억 매일 사진기록 중 필터 안 씀 필수 아이템 감성 사진 좋아요 반사 좋아요 늘리기 마스크 생활화 사랑해 우리 여보 양 힐링 행복해 시간
6,6,고마워 미희야 내 인생 좋네 곧 살이라니 사진 소중해 내 일찍 음 내 손 힐링 시간 참 빠르다 매일 잘 부탁해 좋아요 반사 소통 좋아요 늘리기 마스크 생활화 힐링 행복해
7,7,여자는 자고로 토끼 풍선보단 망치 풍선이지 암요 분 거리에 있는 리파이 아웃렛입니다 왜 여길 올 생각을 그동안 못했을까요 아는 브랜드는뿐이지만 다 해가 뛰어놀기 너무 좋네요 곧 또 오자 제의 놀이터 등극 다시 날이 따뜻해졌어요 추웠던 게 이상 기온인가 봐요 오늘도 감사한 하루입니다 아침 시부터 오후 시까지 외출 엄마는 체력 이후 달려다 해 두부네 집
8,8,강화도 가족여행 강화도 여행 일몰 코로나 물러가라 아쉬워 힐링 서해 푸른 바다 감사 행복해
9,9,고마워 미희야 거울 사진 직장 거울 샷 거울 샷 직장인 틱톡 틱 톡 좋아요 부탁해 틱 톡 진출 영상제작편집제작제가 다합니다 좋아요 반사 좋아요 늘리기 마스크 생활화 사랑해 우리 여보 양 힐링 행복해 간
10,10,일아기이번생일은건률이와처음맞이하는크리스마스와나의생일엄마랑남편이랑함께축하해줘서고마워용그리고다들생일축하해줘서행복하고감사한하루다들축하해주셔서감사해용행복한하루생일가족과함께행복해생일파티홈스윗홈코로나조심선팔하면맞팔맞팔좋아요반사좋아요반사육아스타그램육아소통육아일상쥐띠아기쥐띠맘소통
11,11,강윤서살딸아역배우아역스타연극배우영화배우맏이집콕샌드위치만들기행복해행복두끼챌린지코로나물러가라코로나징글징글코로나즈리가라점심식사맛있게하세요윤자매도맛있게냠냠
12,12,쏘스윗생각지도못한서프라이즈하루쉬는날하루종일내생각하면서준비했을울오빵이처음해보고처음받아보고처음이란단어너무쥬아고마워요내가더잘할게앞으로우리오래오래예쁜사랑하자
13,13,법정통역사행복해
14,14,체육신체활동체육교구신나는타요반즐거운시간친구들과함께행복해
15,15,
16,16,아들이 타다 준 아이스 아메리카노 행복해
17,17,어제 넘고 재밌었소 서면서 면 맛 집 서면 다이아에 그 광안리 광안리 해수욕장 광안리 아쿠아펠리스 전망대 스쳐간 무지개의 비밀 꿀 잼 시원한 바람 상쾌 시간 순삭 카레맛 집 존 맛탕 행복해
18,18,내새끼비맞아서세차해주기베스파바이크스타그램바이크타는여자행복해해좋은날행복해좋은하루행복스타그램
