,id,senten
0,0,몸살인가 감기인가 스테인리스인가 아프다
1,1,생각 많은 베어스 울라프 넘어진 거 아님 이미지 트레이닝 중 아프다 오늘도 시키지 산모 글
2,2,보호자님외출중에쓰레기통을뒤져서봉지에남아있는매운양념을먹고설사와구토로내원한미니이렇게아기처럼아기띠를하고왔어요진료하고집에가기전에너무귀여워서찰칵매운양념설사구토수액주사내복약말티즈아기띠아기처럼기념촬영찰칵광교동물병원강아지병원반려견그램아프다인스타그램장운동맞팔애견사랑팔로우미반려견소통환영사랑해요미니귀엽개월일삼일절일상댕댕이사랑멍스타그램태극기
3,3,미루고 미루다 다 맞았네가 다실 노예생활 종료 차까지 끝 아프다 광주 맘
4,4,급성인파선염열은안나서다행피곤해서면역력떨어져서그렇다고하시는데집에만있었는데아프다남편은필요할때는없더라엄마밥먹고싶다
5,5,아프다 아프면 나만 손해 짜증 나침이라도 맞아야지
6,6,화상가위빵미용사헤어디자이너년차아프다좬장오늘시련의날손님컷하다가백만년만에가위빵내머리고데기하다화상손님머리해주는데뜨겁고아프고좬장조심하자
7,7,코로나가뭔지도모르는잠깐의외출이즐거운슬아슬아야미안해조금만참자겨울곰순이겨울최강템짱귀요미세상은지금아프다
8,8,
9,9,새해 첫날 운동을 즐기자요 김에 두 클라이밍 못 갈 거 같은데 못 갈 거 같은데 못 가겠다 몸이 꼼짝을 안 한다 하필 막판에 이런 문제를 전완근 뻣뻣함 최대치 아쉽지만 완 등은 없었네 년 출발 김해 김에 두 클라이밍 새해 복 많이 받으세요 클라이밍 한 살 더 먹었으니 살살 운동하자 아프다
10,10,거북 알로카시아 하루아침에 상태가 너무 안 좋다 그분은 화분이 작아 그렇다 고난과 습인 거 같다 하고 속상한 맘에 어찌해야 할지 아프다 어찌하오리까 이럴 땐 방법 알려 주세요 초보 화초 키우기
11,11,주사 맞고 왔어요 아프다 자궁경부암 주사 주삿바늘 길다 후추 귀여워
12,12,고앵이들발바닥조심하십쇼저처럼됩니다상처그램흔한집사그램조심하세요큰일납니다애옹이가이랬어요또흉질까봐걱정한손에두상처왕밴드아프다흉터진건막냉방울짓지금사진꺼는둘째희망쓰짓사랑희망방울계정
13,13,허벅지 찢어지는 기분 먼지 아니 매미라 놀리지 마세요
14,14,발에사마귀치료함허헝아프다청춘인가보다
15,15,눈 와서 좋은데 장염은 무슨 일 눈 너무 이쁘게 온다 눈 온다 아프다 눈 사진
16,16,타투 후기 사람들이 하지 말라는 데는 다 이유가 있는 거야 발목 타투 일상 기록 아프다
17,17,유달 시리 힘든 날 아무것도 못하겠다 옛날 통닭 한 마리사와 김치 데워 먹자 발바닥 통증 아프다 있는 거로 먹자 명일 개인적인 사정으로 쉽니다 하고 싶다 쉬는 날까지 일 남아 따
18,18,어깨 치료 주사 방 아프다 무섭다 호 해줘
19,19,치즈 닭갈비 오랜만이군 그래도 고구마가 젤 맛있음 라면 사리 있었는데 순삭 오대감 닭갈비 순천 맛 집 광양 맛 집 치즈 닭갈비라면 사리 순삭 고구마 사리 더 주세요 오늘 첫 끼 맛있다 그램 비 오는 겨울밤 커피는 패스 아프다
20,20,이쁘지 피어싱 이쁘다 아프다
21,21,자유놀이미용놀이현서가엄마흰머리뽑아준다며열심히뽑고윤서는미용놀이장난감가지고와서본격적으로엄마꾸미기덕분에머리가락많이뽑혔다엄마머리카락오늘만너희에게주마연년생맘스타그램딸두맘육아육아소통독박육아그램독박육아중집콕놀이머리털뽑히는중아프다희생정신투철슬기로운집콕생활은평구맘
22,22,크리스마스라 본가 와서 방어 회 먹는데 안 줘서 하남 아프다 아프니까 환자다
23,23,어제 타투 했는데 아프네 타투 레터링 문구하지 마라 아프다
24,24,첫번째크리스마스아빠는근무여서늦게왔지만율이야앞으로도흰눈처럼곱게자라줘율이랑동영상이쁘게찍고싶엇는데머리채잡힘아파그래도메리크리스마스지율이네지율스타그램첫번째크리스마스동영상폭탄흰눈이펑펑왔으면좋겠다머리채잡힘아프다엄마의인생이란그래도메리크리스마스엄마아빠가많이사랑해오늘도전쟁중인지율
25,25,사랑니 사랑니를 뽑았다 땡땡 부었다 아프다 첫날보다 둘째 날이 더 많이 붓네 또르르 얼음팩으로 냉찜질 중 너무 춥다손 시려 너무 부어서 입꼬리가 안 올라가 흑흑 사탕 문 거 아니다 보톡스 아니다 겁나 놀려 윗니는 분만에 뽑은 거 같은데 아랫니가 너무 오래 걸림 심지 어중간에 마취 풀림아 놔 그래서 더 아픈 듯 일차인데 아직도 붓기가 안 빠지네 사진은 일차 아파 보여 죽을 상미 용인 일상 스타 그랜트와 이스
