Emotion,Sentence
1,애초에 변할 가능성이 희박한 사람에게는 그 어떤 희망도 보이지 않는다 당신이 참아주고 기다려도 변하지 않는 사람은 변하지 않는다
1,크리스마스 연휴에 집에 콕 생활에 지친 딸들과 집 근처 호수공원 나들이 발목 줄넘기로 몸 풀고 시원한 강바람은 덤
1,한 살 더 먹기 전에
1,일요일 아점 이제 한 끼 먹었는데 벌써 지침 어묵 꼬치로 든든하게 먹긴 했는데 또 금세 공복 상태가 되겠지
1,매일 똑같은 일상 지친다 밖에 나가서 술도 마시고 싶고 놀고 싶다
1,하루종일집에있다저녁마실올해클슈마슈는이렇게지나갔네
1,늦은 업데이트 범아 날씨 요정이니 네가 떠나네 제주도는 화창하다네 이놈 또 시작된 혼자 여행 다이빙이나 특훈 해야지 이제 혼자 숙소 잡고 푹 쉬자 피곤하다
1,정말 이불 밖은 위험해
1,크리스마스 기분이라도 새벽부터 산타 할아버지 선물에 세상 시끌시끌한 아들 기분이라도 내보자 어차피 집에 콕
1,이번 연도 크리스마스도 혼자네
1,퇴근 코로나 여파 땜에 빡센 한주였다 교도관 되고 제일 힘들 날을 이번 주 보낸 듯 크리스마스 기분은 하나도 안 나고 음성이라 다행이란 생각만
1,이번육명만남돌아다니는거와술집보단펜션에서우리끼리만놀자해서예약했다아침에일어나서잠깐바다만보러왕복시간달렸다진짜바다만봤다딱분날짜잡았을때만해도코로나괜찮았는데잡고나서아주빵빵터져서무서웠지만진짜마스크랑소독제만믿고갔다코로나검사받을생각으로갔다왔지만다들아무이상없이지나가서너무다행이다선발대로간삼명이들장보고꾸미느라고생했고후발대일끝나고가느라고생했고운전하느라힘들었던김삼명고생했고차에만있고마스크쓰느라육명이들너무고생했어하지만고생안에힐링과즐거움이다있어행복했다우리올한해는너무힘든게너무많았다행복보단최악이더심했던거같아년엔행복한우리가되자모두들생일축하했고하고년엔최악보단행복이더많길
1,행복했으면
1,핵지침오늘할머니제사하고말안들어서아빠가혼냈더니아빠가싫다해서집에오는길채하를무시했더니집에와서니가엄마아빠싫다하면우리도속상해서너싫어엉엉울면서그럼나는이제가족없어요웃음꾹참으면서니가엄마아빠싫다며미안해요채하가족해주세요진짜언제이렇게컷나싶고눈치빤하고한데도니말한마디에웃음피식근데오늘호호둘다비협조지쳤다
1,오랜만에본댕댕이녀석들깡두쭈미왜우리집에안와아주여시방구녀석들도윤이한테인자밀려서찬밥신세크크크우리집에와할머니가예뻐해줄꺼야
1,꼬질꼬질미안하다내새끼주째얼집안가는소율한시도눈을땔수없는채율엄마가정신이없다아빠오면목욕좀하쟈미용도해야되는데나갈수가없네젠장
1,갑자기 모든 게 다 답답해서 마트 나왔다가 옆길로 샜어요 차 안에서 금방 잠든 둘째 커피 한 잔 사서 혼자 찬바람 쐬고 있어 요 옆에서 체리 사라고 방송만 안 하면 더 좋겠지만 그래도 갑자기 이게 어디예요 집에 들어가기 싫다
1,둥이 일상 오늘 지나가다 내 눈에 들어오는 글귀 오랜만에 맘에 든다
1,지금도 이런 상황이 사랑이에게 미안한데 일하는 엄마는 얼마나 아기에게 미안할까
1,하루에도 몇 번씩 좋았다 우울했다 참 요즘처럼 많은 감정이 오가는 날이 없던 것 같네요 그저 멍 때리는 시간도 사랑하는 사람들과 함께 분주하게 보내는 시간도 내가 하고 싶은 대로 맘껏 할 수 있는 날이 오기를 바라봅니다
1,아 진짜 일하기 지쳐요 왜 끝이 없는 거냐고
1,폴타고싶다사회적거리두기지친다지쳐여행가고싶다놀고싶다집순이진짜아닌데으어어어어
1,참 답답하다 점점 더 금이 가고 벌어진다 무슨 조치를 취해줄 것인지 어떻게 해결해줄 수 있는지
1,만약에 내가 이랬었더라면 이는 생각을 그만하고 싶네요 이미 과거는 지나갔으니까요
1,엄마 우울증 옴 엄마는 아침부터 짜증 폭발 아빠가 눈치껏 밖으로 나가자 한 개도 딸도 신남 코로나가 뭐길래 집에 가기 싫다고 울고불고
1,언제인가 감도 따고 사진도 찍고 얼마 전인데 지금은 너무나 그리운 주말의 일상이다 겨울은 깊어가는 데코 시국은 더 심해진다
1,종일 노트북 폰만 붙들고 있어서 하루 계획표 짜오라 함은 이 정도면
1,멋진 곳 지금은 갈 수 없는
1,힘들다
1,미리 크리스마스 올해는 조용하게 모두가 바라는 대로 평범한 일상이 돌아오길
1,망할 놈의 코로나 때문에 어디 나가지도 못하고 집에서 배달시킨 회와 소주로 답답함을 달래본다
1,코로나 덕에 이 시간 샤워를 하는 아들 새벽 시는 기본 일어나는 건 수업할 땐 시분 주말은 낮 시상이 이게 뭐냐고 거기에 나란 어미도 함께하고 있다는 현실
1,요번 주는 힘들어 쏘
1,큰 교훈을 남겨준 너에게 고맙다는 인사 대신 인생 똑바로 살라고 말하는 내 잘못이 더 큰 거겠지 너에겐
1,아버님 욕심 지나치시네 갑자기 대형을 왜 바꿔 춤 좀 외워서 옷 갖춰 입고 다시 한번
1,집 보러 번째 가는 중 제발 오늘은 계약 좀 하자
1,사랑하는가족들오손도손양념허리뿌라지것다소주한잔캬비비고김치가더마시써
