Sentence,Emotion
그 사람이 죽어버렸으면 좋겠어요,0
오늘 진짜 짜증나,0
맛집이라 해서 갔는데 맛이 쓰레기야,0
과제가 너무 많아,0
오늘도 야근이야,0
배가 너무 고파,0
월급이 안 들어왔어,0
걔 꼴도 보기 싫어,0
웃는 얼굴에 침 뱉고 싶어,0
내 뜻대로 되는 일이 하나도 없어,0
술 먹고 싶어요,1
죽고 싶어,1
울고 싶어,1
노력해서 되는 일이 있을까?,1
너무 지친다,1
남자친구랑 헤어졌어,1
한강에 뛰어들고 싶어,1
상사한테 혼났어,1
너무 우울해,1
돈이 없어,1
내가 잘못한게 뭘까?,1
그냥 그래,2
생각보다 나쁘지 않았어,2
아무 생각이 없어,2
기분이 날아갈 것 같아요,3
좋은 꿈을 꿨어,3
엄청나게 맛있는 저녁을 먹었어,3
친구 만나서 놀았어,3
오늘 데이트했어,3
마카롱 개꿀맛,3
패딩주머니에서 5만원 찾았어,3
드디어 종강했어,3
플렉스 해버렸지 뭐야,3
성과금 들어왔어,3
아니 미친거 아냐,0
우리 미드 뭐하는데,0
기획서가 또 수정됐다고요,0
우리팀 야스오 뭐하는데,0
중간고사 한번 더 본다구요,0
이번 생은 틀렸어,1
집에 가고 싶다,1
엄마 보고 싶다,1
퇴근 할수있을까,1
저 사람도 힘들겠지,1
과제가 안 끝나,1
벌써 밤이네,1
배 고프다,2
밥 뭐먹지,2
와 미친 이게 되네,3
와 미친 이게 사네,3
월급 들어왔다,3
시발 씨발 지랄,0
엿같네,0
씨발 뒤진다,0
화가난다,0
너무 힘들다,1
언제까지 이래야 하지,1
마음이 아파,1
너무 우울한데,1
나쁜 꿈을 꿨어,1
그냥 그래,2
그저 그런 정도?,2
좋아,3
오 그거 좋은데?,3
아주 훌륭해 그렇게 진행해,3
주식 떡락했어,0
내인생에 관심 껐으면 좋겠어,0
군대가기 싫어,0
논문 쓰기 싫어,0
또라이같은 사람이 많아,0
그사람이 나한테 피해줘,0
피해 좀 그만 줬으면,0
층간소음이 심해,0
면접 떨어졌어,1
자꾸 눈물이 나오네,1
허무하다 오늘,1
코로나 언제 끝나지,1
마스크 벗고 싶어,1
코로나 백신 언제 나오지,1
코로나 때문에 밖에 못나가,1
인생이 지루해,1
복귀해야돼,1
병원에 가봐야 하나,1
놀러가고 싶다,1
놀고 싶어,1
놀면서 돈 벌고 싶어,1
사고싶은게 너무 비싸,1
고민이 많아,1
마음이 싱숭생숭하다,1
너무 후회돼,1
머리카락이 너무 많이 빠져,1
머리속이 복잡해,1
수강신청 망했어,1
술 마시고 싶다,1
술이 필요해,1
한숨만 나온다,1
인생 허무하다,1
장례식에 갔다왔어,1
쉬고 싶다,1
겨울이야,2
사주보러 가볼까,2
한화가 이겼어,3
신서유기 꿀잼,3
치킨시킬까?,3
고양이 너무 귀여워,3
휴가가는 날이야,3
방학이다,3
방학에 놀러 갈거야,3
오랜만에 보니까 떨렸어,3
월급 올랐어,3
성적 올랐어,3
소중한 인연이야,3
택배왔어,3
걔가 철 좀 들었으면 좋겠어,0
택시비가 너무 많이 나왔어,0
비트코인 괜히 했나봐,0
집이 너무 더러워,0
스트레스를 너무 받는다,0
나를 귀찮게 해,0
거지 같이 일해 놓고 갔어,0
고집이 너무 세,0
나한테 관심 껐으면 좋겠어,0
나 가지고 장난쳤어,0
나 좀 건들지 마,0
나 좀 내버려 뒀으면 좋겠어,0
나에대해 함부로 말하고 다녀,0
내 험담했어,0
뒤에서 내 욕했어,0
그사람 참 뻔뻔해,0
예의는 좀 지켜줬으면 좋겠어,0
돈 가지고 유세부려,0
돈 빌리고 잠수탔어,0
뒷통수 맞았어,0
막말하더라,0
참견 좀 그만 했으면,0
말을 비꼬아서 듣더라,0
상사가 갈궈,0
여우같은 사람 진짜 싫어,0
유튜브 광고 없애버렸으면 좋겠어,0
층간소음 때문에 미치겠어,0
나한테 집착하지 않았으면 좋겠어,0
걔가 늦게 나왔어,0
맨날 동문서답해,0
말을 계속 바꿔,0
자꾸 봐주니까 기어올라,0
인성에 문제있나봐,0
저주할거야,0
적당히를 몰라,0
내가 화풀이 대상인가,0
항상 자기 맘대로야,0
날 쉽게 생각해,0
불만이 왜이렇게 많아,0
헛소리하네,0
황당해서 말이 안나와,0
바람났더라,0
너무 괘씸하고 분해,0
그사람은 최악이야,0
엿먹이고 싶어,0
배신 당했어,0
이용 당했어,0
사람이 너무 계산적이야,0
내껄 훔쳐갔어,0
돈을 안갚아,0
시댁 가기 싫다,1
결혼 할 수 있을까,1
월세가 너무 비싸,1
하늘 본지가 언젠지,1
하루종일 자고 싶어,1
맘 상한게 안풀려,1
학교생활이 조금 더 재밌으면 좋겠어,1
배려가 없어,1
감기 걸린 거 같아,1
나를 무시해,1
퇴사하고 싶다,1
걱정 없이 살고 싶어,1
내일이 겁나,1
모든일이 다 귀찮아,1
경쟁이 너무 치열해,1
방학이 너무 짧아,1
고민이 있어,1
사는게 너무 답답해,1
계속 실수 해,1
취직 준비 힘들어,1
공부 좀 더 할 걸 그랬어,1
쉬고 싶어,1
밖에 나가고 싶어,1
좋았던 시절은 다 지나간거 같아,1
그냥 혼자 있고 싶어,1
그만 두고 나오고 싶어,1
기가 너무 빨렸어,1
기념일 못 챙겼어,1
기대가 무너졌어,1
기대하지 말 걸 그랬어,1
돈이 없어,1
기분이 더러워,1
기분 꿀꿀해,1
울적해서 밖에 나가고 싶어,1
기회를 놓쳤어,1
데이트하러 가고 싶어,1
끝나니까 허무하다,1
꿈이 이뤄질까,1
내가 너무 소심한가,1
말실수 한거 같아,1
난 머리가 너무 나빠,1
모르는게 왜 이렇게 많지?,1
이제 인정 받고 싶어,1
잘하고 있는 걸까?,1
병원에 가야될듯 해,1
날 챙겨줄 사람이 필요해,1
나는 뭘 잘할까,1
난 왜 이렇게 태어났을까,1
친구가 없어,1
위로 받고 싶어,1
나만 야근이야,1
내가 이상한 사람이래,1
나만 제자리걸음이야,1
나만 친구라고 생각했나봐,1
집에만 있기 싫어,1
집 좀 나가고 싶어,1
낭만이 사라진 거 같아,1
친구 보고싶어,1
내 마음을 알아줬으면 좋겠어,1
다시 연애 할 수 있을까,1
내 편이 없는 거 같아,1
기대를 너무 많이 했나봐,1
내가 무능력한가봐,1
너무 초라해,1
난 많이 부족한가봐,1
내가 사랑할 자격이 있나,1
햇빛을 좀 보고싶어,1
마스크없이 밖에 나가고 싶어,1
마음이 너덜너덜해졌어,1
사람 만나는거 기빨려,1
세상이 불공평해,1
노력해도 안되는 거 같아,1
다들 힘든거 겠지?,1
나만 행복하지 않은거 같아,1
단체생활 힘들다,1
대출 언제 다 갚냐,1
낙엽이 지고 있어,1
여유가 없어,1
마음을 정리중이야,1
말을 좀 예쁘게 했으면 좋겠어,1
못하는게 너무 많아,1
물가가 너무 비싸,1
뭐부터 바꿔야 할까,1
방학이 필요해,1
배가 너무 나왔어,1
변한게 없어,1
부자되고 싶다,1
정규직 되고싶다,1
사람 만나는거 피곤해,1
너무 지쳤어,1
상황이 최악이야,1
서류에서 떨어졌어,1
선택이 어려워,1
소리지르고 싶어,1
소문이 안좋아,1
속은거 같아,1
시간 아까워,1
시간 버렸어,1
시험 없어지면 좋겠다,1
쓸모 없게 느껴져,1
아무것도 하기 싫어,1
탈모인거 같아,1
아무리해도 안 될거야,1
아쉬워,1
아직 많이 부족한가봐,1
아침에 일어나는거 힘들어,1
앞으로 뭐하고 살지,1
미래가 너무 어두워,1
어렸을 때로 돌아가고 싶다,1
열심히 한 거 같은데 왜 이러지,1
영어 잘 했으면 좋겠어,1
예전에는 괜찮았는데,1
운이 안 좋아,1
퇴근길이 너무 막혔어,1
오래 살고 싶어,1
올해 왜 이렇게 엉망이지,1
완벽한 사람이 되고 싶어,1
왕따인거 같아,1
왜 그러는지 모르겠어,1
속이 안 좋아,1
왜 살지,1
성적이 왜 안오를까,1
쓸쓸하다,1
잠을 잘 못 자,1
불면증인가봐,1
왜 이렇게 태어났을까,1
자신이 너무 없어,1
요즘 지루해,1
제정신이 아니야,1
사람이 무서워,1
웃을 일이 없어,1
자꾸 할일을 까먹어,1
기분이 울적해,1
에너지가 없어,1
은퇴 후가 걱정이야,1
이 길이 맞는걸까,1
나만 일하는거 같아,1
도망가고 싶어,1
이건 위기야,1
늙은 거 같아,1
이사가야돼,1
취업할수 있을까,1
한달동안 자고 싶어,1
인턴 때려치고 싶어,1
성공할 수 있을까,1
그게 가능할까,1
인간관계가 제일 어려운거 같아,1
파혼했어,1
인생 헛산듯해,1
멀리 떠나고 싶어,1
계속 일이 쌓이네,1
익숙해지지 않네,1
입고 나갈 옷이 없어,1
입맛 없어,1
자극이 필요해,1
그만 혼났으면 좋겠어,1
뒤처지는 느낌이야,1
미리 걱정해,1
자꾸 자다 깨,1
마음이 조급해져,1
자신감을 갖고 싶어,1
자존감이 바닥을 친다,1
이제 더 이상 못참겠어,1
잘 할 수 있을까,1
잘못한게 돼버렸어,1
재미없는 하루였어,1
적응을 못하겠어,1
전공을 잘못 골랐나봐,1
엄마한테 연락하고 싶어,1
전역 언제 하지?,1
전화 안 받아,1
전화할 사람이 없어,1
절망적이야,1
젊어지고 싶어,1
점심시간이 너무 짧아,1
정답이 뭘까,1
정리가 안돼,1
정신 못 차리겠어,1
조급하고 초조해,1
조심할게 많아,1
좌절 중이야,1
주눅들어 말을 못하겠어,1
주름 생겼어,1
주제 넘은 짓 한거 같아,1
죽어도 아무도 모르겠지,1
중간이 없어,1
물건 잃어 버렸어,1
나를 괴롭혀,1
승진 누락됐어,1
무력하다,1
무기력해,1
이제 한계점인듯 해,1
진짜 친구가 없는거 같아,1
집안일이 쌓였어,1
먹을게 없네,1
집중이 안돼,1
착하게만 살면 안될거 같아,1
계속 참아야 하는걸까,1
챙길게 너무 많아,1
철이 너무 일찍 들었나봐,1
쳇바퀴 돌듯 하루가 돌아가,1
최고 몸무게 경신하는 중이야,1
최선은 다한거 같은데,1
취업준비 힘들어,1
밑에서 치고 올라와,1
병에 걸린걸까봐 무서워,1
친구 사귀고 싶어,1
사람이 다 떠나갔어,1
친구가 필요해,1
계속 비교하게 돼,1
친구라고 생각했는데,1
내가 작아진 기분이야,1
연락할 사람이 하나도 없네,1
카톡 씹혔어,1
별 탈 없이 살고 싶은데,1
키가 조금만 더 컸으면 좋겠어,1
통장잔고가 하나도 안 남았어,1
티 나게 어색해 했어,1
팀플 안 하면 좋겠다,1
판도라의 상자를 연 거 같아,1
편두통 왔어,1
편하게 쉬고 싶어,1
포기할까,1
푸른 하늘을 보고 싶다,1
프로젝트 빨리 끝났으면 좋겠다,1
피곤한데 잠이 안와,1
피부가 푸석푸석해,1
친구가 부러워,1
하고 싶은게 없어,1
하루에도 몇번씩 마음이 바껴,1
한숨만 자꾸 나온다,1
나중에 후회해,1
항상 똑같애,1
흐지부지야,1
여행 가고 싶어,1
핸드폰 고장 났어,1
허전하다,1
헤어지기 전으로 돌아가고 싶어,1
혼자 앞서서 생각해,1
화를 못내,1
희망이 없어,1
힘든 시기가 지나갔으면,1
